name,usage
a.e.r traveler towelette,"Witch hazel has been used to relieve swelling, bleeding, itching, minor pain, and discomfort caused by minor skin irritations (such as cuts, scrapes, insect bites). It is also used to relieve itching, discomfort, irritation, and burning caused by hemorrhoids.Some herbal/diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
gaviscon extra strength 160 mg-105 mg chewable tablet,"This medication is used to treat the symptoms of too much stomach acid such as stomach upset, heartburn, and acid indigestion. Aluminum and magnesium antacids work quickly to lower the acid in the stomach. Liquid antacids usually work faster/better than tablets or capsules.This medication works only on existing acid in the stomach. It does not prevent acid production. It may be used alone or with other medications that lower acid production (including H2 blockers such as cimetidine/ranitidine and proton pump inhibitors such as omeprazole)."
gavreto 100 mg capsule antineoplastic - protein-tyrosine kinase inhibitors,This medication is used to treat certain types of cancer (lung and thyroid). Pralsetinib belongs to a class of drugs known as kinase inhibitors. It works by slowing or stopping the growth of cancer cells.
e-200,"This supplement is used to prevent or treat a lack of vitamin E in the body. A low body level of vitamin E is rare. Most people who eat a normal diet do not need extra vitamin E. However, vitamin E supplements are used in premature newborns and in people who have problems absorbing enough vitamin E from their diets. Vitamin E is important in protecting your body's cells from damage. It is known as an antioxidant."
gamastan s/d 15 %-18 % range intramuscular solution,"This medication is used to provide protection (antibodies) against certain virus infections (hepatitis A, measles, chickenpox, rubella) in people who have not been vaccinated or have not had the infection before. It is also used to strengthen the body's natural defense system (immune system) to lower the risk of infection in persons with a certain immune system problem (immunoglobulin deficiency). This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies), which help fight infections. Routine vaccination is usually the best way to protect against infection. Talk with your doctor about a recommended vaccination schedule."
galzin,"This medication is used after other medications to treat a certain liver disease (Wilson's disease). This inherited disease causes the liver to hold onto too much copper, resulting in liver damage and other serious problems. This medication causes the intestines to make more of a certain substance (a protein) that prevents the body from absorbing too much copper from food, thereby preventing further damage."
gazyva vial,"This medication is given by injection into a vein by a health care professional. It is given as directed by your doctor, usually as part of a treatment cycle (for example, only on certain days each month). Carefully follow your doctor's instructions. The dosage is based on your medical condition and response to treatment."
gaviscon 80 mg-14.2 mg chewable tablet antacids,"This medication is used to treat the symptoms of too much stomach acid such as stomach upset, heartburn, and acid indigestion. Aluminum and magnesium antacids work quickly to lower the acid in the stomach. Liquid antacids usually work faster/better than tablets or capsules.This medication works only on existing acid in the stomach. It does not prevent acid production. It may be used alone or with other medications that lower acid production (including H2 blockers such as cimetidine/ranitidine and proton pump inhibitors such as omeprazole)."
mag-al plus xs,"This medication is used to treat the symptoms of too much stomach acid such as stomach upset, heartburn, and acid indigestion. It is also used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. Simethicone helps break up gas bubbles in the gut. Aluminum and magnesium antacids work quickly to lower the acid in the stomach. Liquid antacids usually work faster/better than tablets or capsules.This medication works only on existing acid in the stomach. It does not prevent acid production. It may be used alone or with other medications that lower acid production (including H2 blockers such as cimetidine/ranitidine and proton pump inhibitors such as omeprazole).If you are self-treating with this medication, carefully read the package instructions before you start using this product to be sure it is right for you. Some products have similar brand names but different active ingredients with different uses. Taking the wrong product could harm you. Ask your pharmacist if you have any questions about your product or its use."
l. acidophilus-b. animalis-fos 5 billion cell oral powder packet,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
